"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"epsilon[3]",0.374906022048034,0.0297899856845712,0.387849704342128,-0.428018003565184,0.133492657347493,0.380549325060882,0.629001611556733,1.10503292071688,169.506493685152,1.00065988683613,0.324079480220021,0.361680425917765,-0.383291065640175,0.101651340911748,0.285159039459268,0.530125390433996,1.01969041333635,0.34119863719543,0.443905351770813,-0.405323606295428,0.0897432307535909,0.296029875249701,0.601038525512139,1.18990260573541,0.408777937978319,0.397494848596165,-0.2944181585903,0.179761978730795,0.458719389286304,0.634763410881597,1.14544730222205,0.425568032798365,0.342735162894212,-0.297341431793748,0.248483197079277,0.453537646299742,0.685473232626344,0.926796862012559
"alpha[4]",0.493485238416226,0.0381127721039144,0.490737050923338,-0.486743454468863,0.147290750296511,0.543393617480008,0.826119767936203,1.44686348063661,165.789347153865,0.993065436666378,0.421944615232337,0.529234359392142,-0.467176314566418,0.0864515010825039,0.433491793512001,0.810491894165964,1.42370627540788,0.502202965073508,0.40810659732891,-0.121966710110075,0.178896933525567,0.444779541971997,0.819670950278071,1.29089487635397,0.523301936932875,0.451325333773559,-0.340273391073475,0.190847256216685,0.581385790795016,0.784472522230983,1.28110410529363,0.526491436426183,0.566023169387903,-0.599130744792471,0.110828920340053,0.62193991836359,0.925033257877285,1.50330321569173
"beta[4]",0.130072998799842,0.0319587971831193,0.390095183963313,-0.572285541819112,-0.131492535582951,0.12835801041583,0.383218873598288,0.868860329779977,148.991099810043,1.00987298122432,0.121943550148863,0.412673851060782,-0.605210788849082,-0.123907023571065,0.110271576847793,0.384379407286893,0.845907318453433,0.13970769102089,0.414872343505887,-0.613606708048592,-0.14946881106157,0.190475555676846,0.391384972575601,0.856493820074466,0.0757171504792832,0.39580678409248,-0.529846153001293,-0.133294244842759,0.021368218398987,0.306787520892516,0.941078283298972,0.18292360355033,0.336013121932335,-0.407589262756076,-0.0922738193511341,0.187466626722695,0.447379545902295,0.754297014237082
"gamma[4]",0.362722104177394,0.0293006580503441,0.389185378526317,-0.406601471010179,0.121041689936092,0.353502462076195,0.638474213038586,1.13003600579705,176.424251365038,1.00051226016578,0.325087287599887,0.386009139841775,-0.341356533704012,0.0927650466707139,0.299475816427154,0.660680488516014,0.977430694683672,0.431690647543303,0.457031090868691,-0.46734585697453,0.088094478750195,0.424820274156842,0.70070038352628,1.3540349446487,0.425183155167973,0.322198648107441,-0.154303982866392,0.193718856746054,0.357060172502344,0.636599783356853,1.07602605929029,0.268927326398412,0.366312643300595,-0.437823261516779,0.115669869625679,0.306102247127222,0.47740692717839,0.927160285062268
"delta[4]",0.172455577160303,0.0280264954083557,0.415200080519811,-0.560269207421009,-0.117328734022772,0.167715391529731,0.471489607189587,1.00397124575997,219.471063989285,0.994504589974803,0.180943676282408,0.419661214485714,-0.567147888185568,-0.113767938965718,0.238806810056747,0.413454509998853,0.974916840513348,0.179244514398129,0.476110068197901,-0.638626769929751,-0.143650660222758,0.0774742779204212,0.571651064732428,1.05019622539975,0.135933757031734,0.407236108731486,-0.557348735058298,-0.115091242312576,0.167715391529731,0.37906087931399,0.801407507203289,0.19370036092894,0.359915600942708,-0.391005779822949,-0.0753365969218927,0.131887044295275,0.498056563971695,0.867336188756404
"epsilon[4]",-0.125975476544913,0.0299671383391154,0.390806816075015,-0.899397040917173,-0.376671781204346,-0.121501594792878,0.142566901145604,0.575496599331072,170.07235047322,1.00200495065988,-0.189847287654567,0.371588847237283,-0.936135136394359,-0.399215506233778,-0.178110906916928,0.0481035784490753,0.532142360144516,-0.16209123773138,0.440767454150147,-0.841661686370151,-0.501885566137467,-0.205552759252964,0.105465865728739,0.715747406188591,-0.0745751232620632,0.385248815362789,-0.694207522983375,-0.300269862003649,-0.0571822118532583,0.150999771149196,0.627247299457972,-0.0773882575316429,0.359028092259951,-0.873465173260202,-0.231485095272786,-0.0657919668260437,0.196973049627207,0.466285454869642
"alpha[5]",-0.0123287767076918,0.0390936108411663,0.508869883471655,-1.08598223995587,-0.380817508733188,-0.00135415942536985,0.330887624580667,0.93007296587933,169.434531654842,0.998793659458462,-0.0559568646451067,0.533600766429945,-1.06993909478836,-0.406155140352067,-0.0703097529928746,0.269630740494103,0.968565503477648,0.00746518348802433,0.462034526413338,-0.613516791494455,-0.376707267346013,-0.150368691383892,0.419376893054919,0.901689455452203,0.0044260214298952,0.477967859577402,-0.892790472163559,-0.339366642527526,0.0721203853922747,0.307235980290058,0.856109664888671,-0.00524944710358009,0.567723195137297,-1.25450548970764,-0.333882190368497,0.0474568183000831,0.341210088458265,0.953246323170761
"beta[5]",0.916663622589275,0.0317777729727106,0.402718826232683,0.16256715433717,0.610442025778456,0.902337510998025,1.2042023802637,1.70795935110638,160.604218616612,0.99445889991634,0.957035084352381,0.450825417193923,0.151599397845644,0.57175785579422,0.971815891289773,1.31429521235628,1.69860996270289,0.889951738141177,0.385607770949329,0.272982444073201,0.605608244435465,0.844708051524651,1.1768446975217,1.58635315072197,0.866528950523121,0.370642576364971,0.0814264739359484,0.639572246235305,0.868574449522644,1.12250861597584,1.45428678015281,0.953138717340421,0.403773391611853,0.315888820408571,0.620015781771446,0.93480498371193,1.21600834241964,1.71949789876137
"gamma[5]",-1.53360649860094,0.0352581346349521,0.472596059611195,-2.49752643945366,-1.8606672117724,-1.49639873388033,-1.23968847682535,-0.560600092145143,179.664192132582,1.00211473335159,-1.6378868467694,0.476992599409576,-2.68778996930603,-1.95582383410851,-1.60163972787628,-1.26646711154576,-0.813584412118142,-1.46374731138062,0.502890346009304,-2.34351111659206,-1.81941973755371,-1.49993481361641,-1.19621514653543,-0.419804750269943,-1.46436855093644,0.494001246210219,-2.46134224016843,-1.73697796148515,-1.39878333782268,-1.22289935222826,-0.60600842743241,-1.56842328531729,0.400499291202588,-2.2329758990333,-1.89025560339017,-1.49693919095092,-1.31585208132787,-0.903718278248373
"delta[5]",-0.438543429566466,0.0326591517377251,0.460783933246168,-1.24458703052607,-0.787419276553543,-0.449971545517654,-0.0821142323464466,0.364716842645781,199.060391585453,0.986933428857937,-0.458312049684509,0.442352827461961,-1.24191065502116,-0.789762272682973,-0.498616004049955,-0.0928319015423502,0.336050851155785,-0.374192647462783,0.49351213332857,-1.23157014908485,-0.774853875093959,-0.331012971818582,0.0560480360895044,0.361773624819339,-0.461569358891095,0.493451123984236,-1.34689486676835,-0.772452651208041,-0.462690929722536,-0.212926792946475,0.505118074846756,-0.460099662227478,0.417040635180461,-1.18637839134754,-0.757486185356234,-0.479922731424159,-0.131146179145948,0.285464752220963
"epsilon[5]",-0.894022932567791,0.0367519968593184,0.469169471450688,-1.78788444794238,-1.26892519863296,-0.825367019386854,-0.575421636707219,-0.094503746848447,162.966226202331,1.03035511950756,-1.02463850201109,0.446715231030107,-1.74623822004196,-1.358068553255,-1.01362645772478,-0.655427725607101,-0.279135157079178,-0.882079035352252,0.467956950598502,-1.73514012448952,-1.20881987434405,-0.901010314535134,-0.547597407080525,-0.146044444904806,-0.785153437996092,0.501330299698847,-1.78557468259698,-1.00248242766616,-0.725908753596213,-0.485587878774283,0.0743924859998456,-0.884220754911727,0.440839840368108,-1.724054626379,-1.18183861982942,-0.806578326575773,-0.577806055770047,-0.218846806114017
"alpha[6]",-0.019599179247443,0.0365447262678688,0.491083140860782,-0.949897806893069,-0.367000082332524,0.0270497142247554,0.295362758250373,0.861497344562914,180.576247242453,0.994954897933732,-0.0801856461706296,0.50077449180905,-0.956427404060936,-0.353824833082903,-0.0653231393704019,0.212004614973434,0.966800756169358,-0.0215390475877589,0.431045560763673,-0.611144831361754,-0.355862644377299,-0.129384082999423,0.302090768453788,0.767396058115543,0.0306990637768515,0.47144188245872,-0.781404712399882,-0.38904459567526,0.0925656213181641,0.392033231235916,0.834699354203118,-0.00737108700823519,0.560445586252846,-1.06207749448819,-0.221141460752624,0.069930945037324,0.306179568129101,0.962206584417301
"beta[6]",0.568251328355218,0.0358761346284015,0.414688804361845,-0.145474316424877,0.301351326370464,0.568007950783085,0.821715072588067,1.4390788999406,133.60826703025,1.00860897244403,0.533179991463983,0.454333831127603,-0.209152599759175,0.218151337240695,0.531465337326884,0.824439957439977,1.43906406876197,0.602531947273308,0.444722666184438,-0.104978998387988,0.325322633565076,0.561413151543462,0.951302814067904,1.37289920917968,0.527763585401879,0.421787859057596,-0.145983599503425,0.239134614153544,0.461815416087691,0.76758094533823,1.50061036464274,0.609529789281702,0.332306603535304,-0.0447050285756447,0.412554321370312,0.617854155622192,0.807322926179101,1.19844812287328
"gamma[6]",-0.257871700275017,0.0298752666356432,0.395671091485338,-1.09914226041454,-0.49057037946438,-0.249616223552821,-0.0184315398060909,0.52382025188472,175.406249211192,0.996274804041725,-0.287265778655076,0.380825873972303,-1.00518280512834,-0.501054604230026,-0.307589499860196,-0.0578349924325001,0.427995766574768,-0.194309757510473,0.452911198144917,-1.02037529471196,-0.499504103122294,-0.189496698358796,0.0532628824298857,0.721944707259811,-0.212490291052264,0.327275407938066,-0.818765969025297,-0.428875773182804,-0.223970210008725,-0.000828256837642426,0.393937995304403,-0.337420973882253,0.406175387074162,-1.20493041422126,-0.462773904701282,-0.284859868520449,-0.112421323464722,0.427733927725102
"delta[6]",0.187319165916118,0.0294898355628836,0.422064019682943,-0.634349082892224,-0.113301545655949,0.197548675708382,0.504580239853993,1.00418336359552,204.838675861424,0.994984794489711,0.201305225006878,0.424823187907025,-0.617469895914478,-0.0586088608155693,0.231456508034502,0.480643054675952,0.938997272752338,0.185646153787766,0.478638876723705,-0.710183018767647,-0.0910077615488126,0.10313794731165,0.587914327722904,1.02513791732466,0.134993429955045,0.408276317017981,-0.579571617251911,-0.154513023588223,0.169117683949693,0.387703344934948,0.811901272272918,0.227331854914781,0.377583214723753,-0.359156700180972,-0.131789530597103,0.18390039079532,0.564756938067937,0.86199687856849
"epsilon[6]",0.23728422967933,0.0296707889308471,0.387502033497699,-0.556078762317501,-0.00307488879046694,0.251247053169964,0.510732270107646,0.903728190831548,170.5649469567,1.00436069052353,0.175013051776104,0.352908507924976,-0.589307369000212,-0.00844963732562368,0.116875279589577,0.36257721160556,0.831966242196981,0.207761856601218,0.4421872334558,-0.531850871465982,-0.0862028350791869,0.190886839789668,0.570927223604404,0.917400572556519,0.273419159748593,0.394279160824048,-0.399132791479051,0.0223920918453101,0.292217409427197,0.445695514806434,1.06484524033467,0.292942850591404,0.353489660590429,-0.437603633971162,0.119716950813583,0.301237357013118,0.562913080886311,0.8098186534114
